ts,wind_speed,wind_direction,pressure_kp,pressure_oo,flow_kp_in,flow_oo_out,flow_oo_in,dp_kp_os,dp_oo_os_8,dp_oo_os_9,dp_kp_oo,dp_kp_oo_by,dp_kp_oo_bz,dp_kp_oo_ca,air_density,gu_pressure_west_wall,gu_pressure_east_wall,gu_pressure_cyl_wall,gu_pressure_west_gap,gu_pressure_east_gap,gu_pressure_vsro,gu_sigma_008,gu_sigma_009,gu_sigma_kp_os
2020-01-17 05:00:00,1.0,274,-2.7,-15.1,20.833194444444445,24.998333333333335,0.0,-2.7,-15.1,-32.3,15.93,15.93,12.27,14.1,1.225,1.0615408004104452,-0.7398864317939083,-0.8393287275286943,0.9874467623830882,-0.7327774474663721,-0.7996044285125532,0.21456197523870676,0.9039144684163077,1.4265290466658676
2020-01-21 04:00:00,4.15,288,-10.1,-29.7,13.888583333333333,23.609444444444446,0.0,-10.1,-29.7,-32.2,11.08,11.08,6.7,8.89,1.225,16.790043730845095,-12.432216994106975,-12.133393119250957,14.850168141136999,-12.288942191691179,-12.376609535129386,4.655913152441152,9.844194159329398,17.93907437264919
2020-01-25 03:00:00,2.81,275,-2.9,-19.8,20.833305555555555,20.605555555555554,0.0,-2.9,-19.8,-17.9,15.11,15.11,11.2,13.155,1.225,8.30674646879561,-5.786838116578777,-6.545214907836922,7.719783590278607,-5.722541707296422,-6.2087331443063905,1.8428327550897847,6.964308562293696,10.965197889144042
2020-01-29 02:00:00,3.34,139,7.0,-8.6,20.833333333333332,20.836944444444445,0.0,7.0,-8.6,-15.0,14.01,14.01,11.14,12.575,1.225,-7.048147963756514,0.991462033755651,-6.197939790356893,-7.056128499288223,0.1287194039099683,-7.578952360112823,-7.085833324309778,-7.266250101545892,-7.076340803988459
2020-02-02 01:00:00,3.05,239,-1.8,-21.1,20.79733333333333,20.83416666666667,0.0,-1.8,-21.1,-3.3,13.02,13.02,11.68,12.35,1.225,7.267586460969124,-6.631681001751598,-6.016196739019722,6.441451858357439,-6.625816244447387,-6.603157263125881,8.497130254291008,0.6103257078690426,4.992614563486296
2020-02-06 00:00:00,1.18,305,-7.0,-23.6,13.889166666666666,22.22277777777778,0.0,-7.0,-23.6,-37.8,9.96,9.96,5.86,7.91,1.225,1.0876735896142742,-1.2062529132232813,-0.8531314858267813,0.9926483895156527,-1.1920183653913374,-1.282329107843432,-0.5608450101881475,0.9932258232434733,1.6309055964110697
2020-02-09 23:00:00,2.72,189,8.2,-7.3,22.856361111111113,36.940555555555555,14.144222222222222,8.2,-7.3,-11.1,15.11,15.11,9.84,12.475,1.225,-4.649226670520127,-5.0993440261015275,-4.616551195098099,-3.143899772610672,-3.398892087696646,-5.732089628775474,0.16475507569878012,-3.572891595965756,-3.7053668802985014
2020-02-13 22:00:00,2.88,260,-7.4,-18.8,13.889166666666666,20.83,0.0,-7.4,-18.8,-9.7,8.13,8.13,5.82,6.9750000000000005,1.225,7.693034053440478,-5.482387184920444,-7.688335142080027,7.785649904308388,-5.375212043709872,-5.287591184094384,7.066324110928752,5.491316771088195,8.894999818332469
2020-07-06 00:00:00,0.41,244,-0.5,4.5,20.832555555555555,23.585,0.0,-0.5,4.5,4.7,6.34,6.34,16.03,11.185,1.225,0.15795548798671158,-0.11848891226628953,-0.11421010976706107,0.14393944498031042,-0.11872852806907286,-0.11776240380660886,0.16212471267611145,0.04403441169429781,0.1296479976621497
2020-07-15 03:00:00,1.5,309,-10.1,-19.0,20.832055555555552,24.997222222222224,7.172859868129508,-10.1,-19.0,-2.2,11.02,11.02,14.62,12.82,1.225,1.6857473109216452,-2.0626914548273425,-1.3236415585693384,1.5118580843300824,-2.035298202892919,-2.192763485511211,-1.1006279646875992,1.4745085187958187,2.514585875856119
